               dataset          met      n   nvar
      QCD_HT_1000ToInf    15.848932      1      1
      QCD_HT_1000ToInf    19.952623      0      0
      QCD_HT_1000ToInf    25.118864      1      1
      QCD_HT_1000ToInf    31.622777      3      3
      QCD_HT_1000ToInf    39.810717      3      3
      QCD_HT_1000ToInf    50.118723      6      6
      QCD_HT_1000ToInf    63.095734      2      2
      QCD_HT_1000ToInf    79.432823      2      2
      QCD_HT_1000ToInf   100.000000      4      4
      QCD_HT_1000ToInf   125.892541      2      2
      QCD_HT_1000ToInf   158.489319      0      0
       QCD_HT_250To500    25.118864      1      1
       QCD_HT_250To500    31.622777      1      1
       QCD_HT_250To500    39.810717      0      0
       QCD_HT_250To500    50.118723      1      1
       QCD_HT_250To500    63.095734      0      0
       QCD_HT_250To500    79.432823      1      1
       QCD_HT_250To500   100.000000      0      0
      QCD_HT_500To1000    15.848932      2      2
      QCD_HT_500To1000    19.952623      8      8
      QCD_HT_500To1000    25.118864      2      2
      QCD_HT_500To1000    31.622777      2      2
      QCD_HT_500To1000    39.810717      5      5
      QCD_HT_500To1000    50.118723      7      7
      QCD_HT_500To1000    63.095734      8      8
      QCD_HT_500To1000    79.432823      2      2
      QCD_HT_500To1000   100.000000      2      2
      QCD_HT_500To1000   125.892541      2      2
      QCD_HT_500To1000   158.489319      1      1
      QCD_HT_500To1000   199.526231      0      0
     TBarToLeptons_sch     3.162278      1      1
     TBarToLeptons_sch     3.981072      1      1
     TBarToLeptons_sch     5.011872      3      3
     TBarToLeptons_sch     6.309573      8      8
     TBarToLeptons_sch     7.943282     16     16
     TBarToLeptons_sch    10.000000     39     39
     TBarToLeptons_sch    12.589254     52     52
     TBarToLeptons_sch    15.848932     80     80
     TBarToLeptons_sch    19.952623    144    144
     TBarToLeptons_sch    25.118864    178    178
     TBarToLeptons_sch    31.622777    265    265
     TBarToLeptons_sch    39.810717    359    359
     TBarToLeptons_sch    50.118723    482    482
     TBarToLeptons_sch    63.095734    489    489
     TBarToLeptons_sch    79.432823    405    405
     TBarToLeptons_sch   100.000000    306    306
     TBarToLeptons_sch   125.892541    174    174
     TBarToLeptons_sch   158.489319    107    107
     TBarToLeptons_sch   199.526231     53     53
     TBarToLeptons_sch   251.188643     27     27
     TBarToLeptons_sch   316.227766     13     13
     TBarToLeptons_sch   398.107171      3      3
     TBarToLeptons_sch   501.187234      2      2
     TBarToLeptons_sch   630.957344      0      0
     TBarToLeptons_tch     2.511886      1      1
     TBarToLeptons_tch     3.162278      6      6
     TBarToLeptons_tch     3.981072     16     16
     TBarToLeptons_tch     5.011872     36     36
     TBarToLeptons_tch     6.309573     52     52
     TBarToLeptons_tch     7.943282    112    112
     TBarToLeptons_tch    10.000000    187    187
     TBarToLeptons_tch    12.589254    328    328
     TBarToLeptons_tch    15.848932    549    549
     TBarToLeptons_tch    19.952623    807    807
     TBarToLeptons_tch    25.118864   1170   1170
     TBarToLeptons_tch    31.622777   1740   1740
     TBarToLeptons_tch    39.810717   2279   2279
     TBarToLeptons_tch    50.118723   2955   2955
     TBarToLeptons_tch    63.095734   3464   3464
     TBarToLeptons_tch    79.432823   3125   3125
     TBarToLeptons_tch   100.000000   2238   2238
     TBarToLeptons_tch   125.892541   1569   1569
     TBarToLeptons_tch   158.489319    901    901
     TBarToLeptons_tch   199.526231    378    378
     TBarToLeptons_tch   251.188643    156    156
     TBarToLeptons_tch   316.227766     48     48
     TBarToLeptons_tch   398.107171     18     18
     TBarToLeptons_tch   501.187234      2      2
     TBarToLeptons_tch   630.957344      0      0
             TBar_tWch     1.584893      1      1
             TBar_tWch     1.995262      2      2
             TBar_tWch     2.511886      3      3
             TBar_tWch     3.162278      2      2
             TBar_tWch     3.981072      9      9
             TBar_tWch     5.011872     27     27
             TBar_tWch     6.309573     34     34
             TBar_tWch     7.943282     78     78
             TBar_tWch    10.000000    114    114
             TBar_tWch    12.589254    175    175
             TBar_tWch    15.848932    320    320
             TBar_tWch    19.952623    414    414
             TBar_tWch    25.118864    568    568
             TBar_tWch    31.622777    778    778
             TBar_tWch    39.810717   1055   1055
             TBar_tWch    50.118723   1344   1344
             TBar_tWch    63.095734   1543   1543
             TBar_tWch    79.432823   1509   1509
             TBar_tWch   100.000000   1421   1421
             TBar_tWch   125.892541   1109   1109
             TBar_tWch   158.489319    755    755
             TBar_tWch   199.526231    399    399
             TBar_tWch   251.188643    211    211
             TBar_tWch   316.227766     95     95
             TBar_tWch   398.107171     39     39
             TBar_tWch   501.187234     21     21
             TBar_tWch   630.957344      3      3
             TBar_tWch   794.328235      0      0
                TTJets     1.258925      4      4
                TTJets     1.584893      6      6
                TTJets     1.995262     36     36
                TTJets     2.511886     61     61
                TTJets     3.162278    177    177
                TTJets     3.981072    343    343
                TTJets     5.011872    682    682
                TTJets     6.309573   1367   1367
                TTJets     7.943282   2351   2351
                TTJets    10.000000   3987   3987
                TTJets    12.589254   6602   6602
                TTJets    15.848932  10540  10540
                TTJets    19.952623  16104  16104
                TTJets    25.118864  23881  23881
                TTJets    31.622777  32863  32863
                TTJets    39.810717  44104  44104
                TTJets    50.118723  56309  56309
